DATE,TEMPERATURE
2016-11-24-13:00,76.1
2016-11-24-13:15,76.2
2016-11-24-13:30,76.2
2016-11-24-13:45,75.9
2016-11-24-14:00,75.3
2016-11-24-14:15,75.0
2016-11-24-14:30,74.4
2016-11-24-14:45,73.9
2016-11-24-15:00,73.5
2016-11-24-15:15,73.2
2016-11-24-15:30,72.6
2016-11-24-15:45,72.3
2016-11-24-16:00,72.6
2016-11-24-16:15,72.3
2016-11-24-16:30,71.9
2016-11-24-16:45,71.4
2016-11-24-17:00,71.0
2016-11-24-17:15,70.7
2016-11-24-17:30,70.3
2016-11-24-17:45,69.8
2016-11-24-18:00,68.9
2016-11-24-18:15,68.7
2016-11-24-18:30,68.3
2016-11-24-18:45,68.3
2016-11-24-19:00,68.3
2016-11-24-19:15,68.3
2016-11-24-19:30,68.1
2016-11-24-19:45,68.0
2016-11-24-20:00,68.0
2016-11-24-20:15,67.6
2016-11-24-20:30,67.6
2016-11-24-20:45,67.4
2016-11-24-21:00,67.2
2016-11-24-21:15,67.2
2016-11-24-21:30,66.9
2016-11-24-21:45,66.9
2016-11-24-22:00,66.7
2016-11-24-22:15,66.5
2016-11-24-22:30,66.3
2016-11-24-22:45,66.2
2016-11-24-23:00,66.2
2016-11-24-23:15,66.0
2016-11-24-23:30,66.0
2016-11-24-23:45,65.8
2016-11-25-00:00,65.8
2016-11-25-00:15,65.8
2016-11-25-00:30,65.6
2016-11-25-00:45,65.4
2016-11-25-01:00,65.4
2016-11-25-01:15,65.3
2016-11-25-01:30,64.9
2016-11-25-01:45,64.7
2016-11-25-02:00,64.5
2016-11-25-02:15,64.5
2016-11-25-02:30,64.4
2016-11-25-02:45,64.4
2016-11-25-03:00,64.2
2016-11-25-03:15,64.4
2016-11-25-03:30,64.2
2016-11-25-03:45,64.2
2016-11-25-04:00,64.0
2016-11-25-04:15,64.0
2016-11-25-04:30,64.0
2016-11-25-04:45,63.8
2016-11-25-05:00,63.6
2016-11-25-05:15,63.6
2016-11-25-05:30,63.6
2016-11-25-05:45,63.5
2016-11-25-06:00,63.5
2016-11-25-06:15,63.5
2016-11-25-06:30,63.5
2016-11-25-06:45,63.3
2016-11-25-07:00,63.1
2016-11-25-07:15,63.1
2016-11-25-07:30,63.1
2016-11-25-07:45,62.9
2016-11-25-08:00,62.9
2016-11-25-08:15,62.9
2016-11-25-08:30,62.7
2016-11-25-08:45,62.7
2016-11-25-09:00,62.7
2016-11-25-09:15,62.7
2016-11-25-09:30,62.7
2016-11-25-09:45,62.6
2016-11-25-10:00,62.6
2016-11-25-10:15,62.6
2016-11-25-10:30,62.6
2016-11-25-10:45,62.6
2016-11-25-11:00,62.6
2016-11-25-11:15,62.6
2016-11-25-11:30,62.4
2016-11-25-11:45,62.6
2016-11-25-12:00,62.4
2016-11-25-12:15,62.4
2016-11-25-12:30,62.4
2016-11-25-12:45,62.4
2016-11-25-13:00,62.4
2016-11-25-13:15,62.4
2016-11-25-13:30,62.4
2016-11-25-13:45,62.4
2016-11-25-14:00,62.4
2016-11-25-14:15,62.2
2016-11-25-14:30,62.4
2016-11-25-14:45,62.2
2016-11-25-15:00,62.4
2016-11-25-15:15,62.4
2016-11-25-15:30,62.4
2016-11-25-15:45,62.4
2016-11-25-16:00,62.4
2016-11-25-16:15,62.4
2016-11-25-16:30,62.4
2016-11-25-16:45,62.4
2016-11-25-17:00,62.4
2016-11-25-17:15,62.4
2016-11-25-17:30,62.4
2016-11-25-17:45,62.6
2016-11-25-18:00,62.6
2016-11-25-18:15,62.6
2016-11-25-18:30,62.6
2016-11-25-18:45,62.6
2016-11-25-19:00,62.6
2016-11-25-19:15,62.6
2016-11-25-19:30,62.6
2016-11-25-19:45,62.6
2016-11-25-20:00,62.6
2016-11-25-20:15,62.6
2016-11-25-20:30,62.7
2016-11-25-20:45,62.7
2016-11-25-21:00,62.7
2016-11-25-21:15,62.7
2016-11-25-21:30,62.7
2016-11-25-21:45,62.7
2016-11-25-22:00,62.9
2016-11-25-22:15,62.9
2016-11-25-22:30,63.1
2016-11-25-22:45,63.1
2016-11-25-23:00,63.1
2016-11-25-23:15,63.1
2016-11-25-23:30,63.1
2016-11-25-23:45,63.1
2016-11-26-00:00,63.1
2016-11-26-00:15,63.3
2016-11-26-00:30,63.3
2016-11-26-00:45,63.3
2016-11-26-01:00,63.5
2016-11-26-01:15,63.5
2016-11-26-01:30,63.5
2016-11-26-01:45,63.5
2016-11-26-02:00,63.5
2016-11-26-02:15,63.5
2016-11-26-02:30,63.5
2016-11-26-02:45,63.6
2016-11-26-03:00,63.6
2016-11-26-03:15,63.6
2016-11-26-03:30,63.6
2016-11-26-03:45,63.6
2016-11-26-04:00,63.6
2016-11-26-04:15,63.6
2016-11-26-04:30,63.8
2016-11-26-04:45,63.8
2016-11-26-05:00,63.8
2016-11-26-05:15,63.8
2016-11-26-05:30,63.8
2016-11-26-05:45,63.8
