DATE,TEMPERATURE
2016-10-12-18:48,71.7
2016-10-12-19:00,71.7
2016-10-12-19:15,71.6
2016-10-12-19:30,71.4
2016-10-12-19:45,71.2
2016-10-12-20:00,71.2
2016-10-12-20:15,71.0
2016-10-12-20:30,70.8
2016-10-12-20:45,70.8
2016-10-12-21:00,70.8
2016-10-12-21:15,70.8
2016-10-12-21:30,70.7
2016-10-12-21:45,70.7
2016-10-12-22:00,70.7
2016-10-12-22:15,70.8
2016-10-12-22:30,70.8
2016-10-12-22:45,70.8
2016-10-12-23:00,70.8
2016-10-12-23:15,70.8
2016-10-12-23:30,70.8
2016-10-12-23:45,70.7
2016-10-13-00:00,70.7
2016-10-13-00:15,70.7
2016-10-13-00:30,70.5
2016-10-13-00:45,70.5
2016-10-13-01:00,70.3
2016-10-13-01:15,70.3
2016-10-13-01:30,70.3
2016-10-13-01:45,70.3
2016-10-13-02:00,70.1
2016-10-13-02:15,70.1
2016-10-13-02:30,70.1
2016-10-13-02:45,69.9
2016-10-13-03:00,69.9
2016-10-13-03:15,69.9
2016-10-13-03:30,69.9
2016-10-13-03:45,69.9
2016-10-13-04:00,69.9
2016-10-13-04:15,69.8
2016-10-13-04:30,69.8
2016-10-13-04:45,69.8
2016-10-13-05:00,69.9
2016-10-13-05:15,69.9
2016-10-13-05:30,69.9
2016-10-13-05:45,69.9
2016-10-13-06:00,69.9
2016-10-13-06:15,69.9
2016-10-13-06:30,69.9
2016-10-13-06:45,69.9
2016-10-13-07:00,69.9
2016-10-13-07:15,69.9
2016-10-13-07:30,69.9
2016-10-13-07:45,70.1
2016-10-13-08:00,70.1
2016-10-13-08:15,70.3
2016-10-13-08:30,70.3
2016-10-13-08:45,70.3
2016-10-13-09:00,70.3
2016-10-13-09:15,70.5
2016-10-13-09:30,70.5
2016-10-13-09:45,70.5
2016-10-13-10:00,70.7
2016-10-13-10:15,70.7
2016-10-13-10:30,70.7
2016-10-13-10:45,70.8
2016-10-13-11:00,70.8
2016-10-13-11:15,70.8
2016-10-13-11:30,70.8
2016-10-13-11:45,70.8
2016-10-13-12:00,71.0
2016-10-13-12:15,71.2
2016-10-13-12:30,71.2
2016-10-13-12:45,71.2
2016-10-13-13:00,71.2
2016-10-13-13:15,71.2
2016-10-13-13:30,71.2
2016-10-13-13:45,71.7
2016-10-13-14:00,71.6
2016-10-13-14:15,70.7
2016-10-13-14:30,69.8
2016-10-13-14:45,69.2
2016-10-13-15:00,68.5
2016-10-13-15:15,68.5
2016-10-13-15:30,68.9
2016-10-13-15:45,68.9
2016-10-13-16:00,68.7
2016-10-13-16:15,68.5
2016-10-13-16:30,68.5
2016-10-13-16:45,68.5
2016-10-13-17:00,68.5
2016-10-13-17:15,68.3
2016-10-13-17:30,68.1
2016-10-13-17:45,68.3
2016-10-13-18:00,68.1
2016-10-13-18:15,68.1
2016-10-13-18:30,68.1
2016-10-13-18:45,68.1
2016-10-13-19:00,68.1
2016-10-13-19:15,68.1
2016-10-13-19:30,68.1
2016-10-13-19:45,68.0
2016-10-13-20:00,68.0
2016-10-13-20:15,68.0
2016-10-13-20:30,68.0
2016-10-13-20:45,68.0
2016-10-13-21:00,68.1
2016-10-13-21:15,68.0
2016-10-13-21:30,68.0
2016-10-13-21:45,68.1
2016-10-13-22:00,68.0
2016-10-13-22:15,68.0
2016-10-13-22:30,68.1
2016-10-13-22:45,68.1
2016-10-13-23:00,68.1
2016-10-13-23:15,68.1
2016-10-13-23:30,68.1
2016-10-13-23:45,68.1
