DATE,TEMPERATURE
2016-10-18-13:30,76.2
2016-10-18-13:45,76.4
2016-10-18-14:00,76.2
2016-10-18-14:15,75.7
2016-10-18-14:30,75.3
2016-10-18-14:45,75.2
2016-10-18-15:00,74.8
2016-10-18-15:15,74.8
2016-10-18-15:30,74.4
2016-10-18-15:45,74.3
2016-10-18-16:00,73.9
2016-10-18-16:15,73.9
2016-10-18-16:30,73.7
2016-10-18-16:45,73.7
2016-10-18-17:00,73.5
2016-10-18-17:15,73.4
2016-10-18-17:30,73.4
2016-10-18-17:45,72.8
2016-10-18-18:00,72.1
2016-10-18-18:15,72.1
2016-10-18-18:30,71.7
2016-10-18-18:45,71.7
2016-10-18-19:00,71.6
2016-10-18-19:15,71.4
2016-10-18-19:30,71.2
2016-10-18-19:45,71.0
2016-10-18-20:00,70.8
2016-10-18-20:15,70.8
2016-10-18-20:30,70.7
2016-10-18-20:45,70.5
2016-10-18-21:00,70.3
2016-10-18-21:15,70.3
2016-10-18-21:30,70.1
2016-10-18-21:45,69.9
2016-10-18-22:00,69.9
2016-10-18-22:15,69.9
2016-10-18-22:30,69.8
2016-10-18-22:45,69.8
2016-10-18-23:00,69.6
2016-10-18-23:15,69.6
2016-10-18-23:30,69.4
2016-10-18-23:45,69.4
2016-10-19-00:00,69.2
2016-10-19-00:15,69.2
2016-10-19-00:30,69.0
2016-10-19-00:45,69.0
2016-10-19-01:00,69.0
2016-10-19-01:15,69.0
2016-10-19-01:30,69.0
2016-10-19-01:45,68.9
2016-10-19-02:00,68.9
2016-10-19-02:15,68.9
2016-10-19-02:30,68.9
2016-10-19-02:45,68.9
2016-10-19-03:00,68.9
2016-10-19-03:15,68.9
2016-10-19-03:30,68.9
2016-10-19-03:45,68.9
2016-10-19-04:00,68.7
2016-10-19-04:15,68.9
2016-10-19-04:30,68.7
2016-10-19-04:45,68.7
2016-10-19-05:00,68.7
2016-10-19-05:15,68.7
2016-10-19-05:30,68.7
2016-10-19-05:45,68.9
2016-10-19-06:00,68.9
2016-10-19-06:15,68.9
2016-10-19-06:30,68.9
2016-10-19-06:45,68.9
2016-10-19-07:00,68.9
2016-10-19-07:15,68.9
2016-10-19-07:30,68.9
2016-10-19-07:45,68.9
2016-10-19-08:00,68.9
2016-10-19-08:15,68.9
2016-10-19-08:30,68.9
2016-10-19-08:45,68.9
2016-10-19-09:00,68.9
2016-10-19-09:15,69.0
2016-10-19-09:30,69.0
2016-10-19-09:45,69.0
2016-10-19-10:00,69.0
2016-10-19-10:15,69.0
2016-10-19-10:30,69.0
2016-10-19-10:45,69.0
2016-10-19-11:00,69.0
2016-10-19-11:15,69.2
2016-10-19-11:30,69.2
2016-10-19-11:45,69.2
2016-10-19-12:00,69.2
2016-10-19-12:15,69.4
2016-10-19-12:30,69.4
2016-10-19-12:45,69.4
2016-10-19-13:00,69.4
2016-10-19-13:15,69.4
2016-10-19-13:30,69.4
2016-10-19-13:45,69.4
2016-10-19-14:00,69.6
2016-10-19-14:15,69.6
2016-10-19-14:30,69.6
2016-10-19-14:45,69.6
2016-10-19-15:00,69.6
2016-10-19-15:15,69.6
2016-10-19-15:30,69.6
2016-10-19-15:45,69.8
2016-10-19-16:00,69.8
2016-10-19-16:15,69.8
2016-10-19-16:30,69.8
2016-10-19-16:45,69.8
2016-10-19-17:00,69.8
2016-10-19-17:15,69.8
2016-10-19-17:30,69.8
2016-10-19-17:45,69.8
2016-10-19-18:00,69.8
2016-10-19-18:15,69.8
2016-10-19-18:30,69.8
2016-10-19-18:45,69.6
2016-10-19-19:00,69.6
2016-10-19-19:15,69.6
2016-10-19-19:30,69.6
2016-10-19-19:45,69.6
2016-10-19-20:00,69.6
2016-10-19-20:15,69.6
2016-10-19-20:30,69.6
2016-10-19-20:45,69.6
2016-10-19-21:00,69.4
2016-10-19-21:15,69.4
2016-10-19-21:30,69.4
2016-10-19-21:45,69.4
2016-10-19-22:00,69.4
2016-10-19-22:15,69.4
2016-10-19-22:30,69.4
2016-10-19-22:45,69.4
2016-10-19-23:00,69.4
2016-10-19-23:15,69.4
2016-10-19-23:30,69.2
2016-10-19-23:45,69.2
2016-10-20-00:00,69.2
2016-10-20-00:15,69.0
2016-10-20-00:30,69.0
2016-10-20-00:45,69.0
2016-10-20-01:00,69.0
2016-10-20-01:15,69.0
2016-10-20-01:30,68.9
2016-10-20-01:45,68.9
2016-10-20-02:00,68.9
2016-10-20-02:15,68.9
2016-10-20-02:30,68.7
2016-10-20-02:45,68.7
2016-10-20-03:00,68.5
2016-10-20-03:15,68.5
2016-10-20-03:30,68.5
2016-10-20-03:45,68.3
2016-10-20-04:00,68.3
2016-10-20-04:15,68.1
2016-10-20-04:30,68.1
2016-10-20-04:45,68.1
